images,sortDate,text,textDate,title
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108972983_Picture1.png"",""path"":""public/images/imgUploader_1573108972983_Picture1.png"",""size"":1824359},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108972996_Picture2.png"",""path"":""public/images/imgUploader_1573108972996_Picture2.png"",""size"":164517},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108972997_Picture3.png"",""path"":""public/images/imgUploader_1573108972997_Picture3.png"",""size"":188822},{""fieldname"":""imgUploader"",""originalname"":""Picture4.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108972999_Picture4.png"",""path"":""public/images/imgUploader_1573108972999_Picture4.png"",""size"":157006}]",2018-05-13T00:00:00.000Z,,"May 13-18, 2018",Canadian Neuroscience meeting in Vancouver
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109077728_Picture1.png"",""path"":""public/images/imgUploader_1573109077728_Picture1.png"",""size"":1193128},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109077736_Picture2.png"",""path"":""public/images/imgUploader_1573109077736_Picture2.png"",""size"":993679}]",2018-05-24T00:00:00.000Z,"Kayla and Rebecca were selected to feature their work Mapping the distribution of hypothalamic neurons that express tyrosine hydroxylase and the vesicular GABA transporter at the Young Researchers Conference in Ottawa, ON. The enraptured audience voted their presentation for the Viewer’s Choice Award!
","May 24, 2018",Viewer’s Choice Award at the Young Researchers Conference
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109251824_Picture1.png"",""path"":""public/images/imgUploader_1573109251824_Picture1.png"",""size"":1008486},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109251827_Picture2.png"",""path"":""public/images/imgUploader_1573109251827_Picture2.png"",""size"":134206}]",2018-06-29T00:00:00.000Z,"Sorry for the blurry photo - Melissa needs a better camera phone – but you get the idea. It was dark, humid, and the mosquitoes were ravenous. It was still fun.
","June 29, 2018",Pool party! 
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109397565_Picture1.png"",""path"":""public/images/imgUploader_1573109397565_Picture1.png"",""size"":1882812}]",2018-07-03T00:00:00.000Z,"After a very hot summer, Albert the Groundhog has been feasting. A bit worried he might not be able to squeeze into his burrow!
","July 3, 2018",Fat Albert
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109541640_Picture1.png"",""path"":""public/images/imgUploader_1573109541640_Picture1.png"",""size"":270254},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109541641_Picture2.png"",""path"":""public/images/imgUploader_1573109541641_Picture2.png"",""size"":240065},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109541642_Picture3.png"",""path"":""public/images/imgUploader_1573109541642_Picture3.png"",""size"":403173},{""fieldname"":""imgUploader"",""originalname"":""Picture4.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109541643_Picture4.png"",""path"":""public/images/imgUploader_1573109541643_Picture4.png"",""size"":688818}]",2018-08-24T00:00:00.000Z,"Followed by Escape Room and Potluck
","August 24, 2018",2nd Annual Lab Retreat
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109611941_Picture1.png"",""path"":""public/images/imgUploader_1573109611941_Picture1.png"",""size"":1481273}]",2018-10-12T00:00:00.000Z,"Thank you Carol & John MacKay for helping us to shine!
","October 12, 2018",Photoshoot
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109665576_Picture1.png"",""path"":""public/images/imgUploader_1573109665576_Picture1.png"",""size"":550128}]",2018-10-12T00:00:00.000Z,"We disassembled and reassembled our rig within two days. We’re back in business again! Really loving our new space
","October 12, 2018",Getting settled in our new temporary space at the University of Ottawa
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109747634_Picture1.png"",""path"":""public/images/imgUploader_1573109747634_Picture1.png"",""size"":758825},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109747636_Picture2.png"",""path"":""public/images/imgUploader_1573109747636_Picture2.png"",""size"":266502}]",2018-10-26T00:00:00.000Z,"Can’t wait to work with Optimus – Chee-bots roll out!
","October 26, 2018",Day 1 with Optimus
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109831205_Picture1.png"",""path"":""public/images/imgUploader_1573109831205_Picture1.png"",""size"":1398575},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109831211_Picture2.png"",""path"":""public/images/imgUploader_1573109831211_Picture2.png"",""size"":349098},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109831212_Picture3.png"",""path"":""public/images/imgUploader_1573109831212_Picture3.png"",""size"":522169}]",2018-11-30T00:00:00.000Z,"Another successful holiday celebration, thank you Heather for planning a great party!
","November 30, 2018",Department of Neuroscience Holiday Party
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573109936101_Picture1.png"",""path"":""public/images/imgUploader_1573109936101_Picture1.png"",""size"":165173}]",2019-01-10T00:00:00.000Z,"Check out her commentary on beta-catenin as a regulatory factor in food intake (McEwen et al, 2018 JNeuroendocrinol), sponsored by the Pan American Neuroendocrine Society. Commentary 👉 http://bitzz.me/X6BK47jV","January 10, 2019",Congratulations Mikayla!
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110375162_Picture1.png"",""path"":""public/images/imgUploader_1573110375162_Picture1.png"",""size"":425676}]",2019-03-02T00:00:00.000Z,"WHEN: March 2, 2019 
	9:00 am

WHAT: Fundraiser for Distress Center of Ottawa
	5K individual run or 20K team relay

WHERE: Health Science Building, Carleton University
","March 2, 2019",Brain Freeze Fundraiser
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110504259_Picture1.png"",""path"":""public/images/imgUploader_1573110504259_Picture1.png"",""size"":755949}]",2019-04-05T00:00:00.000Z,"Duncan presented our collaborative work with the Bruin lab @bruinjenny1 to showcase good dam exposure to research for an undergraduate student.
","April 5, 2019",I-CUREUS Research Day
"[{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110544833_Picture2.png"",""path"":""public/images/imgUploader_1573110544833_Picture2.png"",""size"":959159}]",2019-04-10T00:00:00.000Z,"Rebecca presented her honors thesis project using electrophysiology to record GABAergic inputs to the medial preoptic area.
","April 10, 2019",Science Undergraduate Research Day
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110675853_Picture1.png"",""path"":""public/images/imgUploader_1573110675853_Picture1.png"",""size"":598142},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110675854_Picture2.png"",""path"":""public/images/imgUploader_1573110675854_Picture2.png"",""size"":308945}]",2019-04-08T00:00:00.000Z,"Super proud of Rebecca Butler and Kayla Schumacker for this well-deserved achievement! 
Awarded by the Office of the Provost and Vice-President Academic via the Discovery Centre to two undergraduate students from each Faculty for academic standing, research excellence, community engagement, international learning, and/or immersive learning. 

","April 8, 2019",CONGRATULATIONS Provost Scholar Awardees!
"[{""fieldname"":""imgUploader"",""originalname"":""carletonn.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110779174_carletonn.png"",""path"":""public/images/imgUploader_1573110779174_carletonn.png"",""size"":182450}]",2019-05-01T00:00:00.000Z,"Congratulations Zachary Levy, welcome to the lab! Thank you Carleton University for supporting our research

",May - August 2019,Dean’s Summer Research Internship (DSRI)
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110824099_Picture1.png"",""path"":""public/images/imgUploader_1573110824099_Picture1.png"",""size"":101569}]",2019-08-01T00:00:00.000Z,"Congratulations Duncan Spencer! Thank you NSERC for supporting our research! 
 
",May - August 2019,NSERC Undergraduate Summer Research Award
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110972086_Picture1.png"",""path"":""public/images/imgUploader_1573110972086_Picture1.png"",""size"":412062},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110972088_Picture2.png"",""path"":""public/images/imgUploader_1573110972088_Picture2.png"",""size"":435066},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573110972089_Picture3.png"",""path"":""public/images/imgUploader_1573110972089_Picture3.png"",""size"":491938}]",2019-05-09T00:00:00.000Z,"At the Royal’s Institute of Mental Health Research in Ottawa. Bianca and Duncan presented their first research posters  (…and learned valuable printing lessons along the way). Melissa gave a sweet Research Spotlight lecture, and Mikayla earned the Best Poster Award

","May 9, 2019",Young Researchers’ Brain Health Research Day 
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462129151_Picture1.png"",""path"":""public/images/imgUploader_1574462129151_Picture1.png"",""size"":2030679}]",2019-08-01T00:00:00.000Z,"Congratulations Aditi and Bianca! See you in Chicago for the SfN meeting… 
(stay tuned for updates in October)


Thank you for supporting our students Carleton Neuroscience !
",August 2019,Bruce Pappas Travel Award
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462498267_Picture1.png"",""path"":""public/images/imgUploader_1574462498267_Picture1.png"",""size"":631033},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462498274_Picture2.png"",""path"":""public/images/imgUploader_1574462498274_Picture2.png"",""size"":961601},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462498280_Picture3.png"",""path"":""public/images/imgUploader_1574462498280_Picture3.png"",""size"":531609}]",2019-06-23T00:00:00.000Z,"The climate is dry and warm – but strangely nice. Oh, and we ate cactus!
And of course, we learned a lot!
","June 23 to July 1, 2019",Thank you University of Texas at El Paso Systems Laboratory for inviting us to your workshop on neuroanatomy techniques!
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462613421_Picture1.png"",""path"":""public/images/imgUploader_1574462613421_Picture1.png"",""size"":438534},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462613425_Picture2.png"",""path"":""public/images/imgUploader_1574462613425_Picture2.png"",""size"":430744},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462613428_Picture3.png"",""path"":""public/images/imgUploader_1574462613428_Picture3.png"",""size"":398839}]",2019-05-22T00:00:00.000Z,,"May 22-25, 2019",Neurometabolic Club satellite & Canadian Neuroscience Meeting in Toronto! 
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918157_Picture1.png"",""path"":""public/images/imgUploader_1574462918157_Picture1.png"",""size"":1294653},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918168_Picture2.png"",""path"":""public/images/imgUploader_1574462918168_Picture2.png"",""size"":437596},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918172_Picture3.png"",""path"":""public/images/imgUploader_1574462918172_Picture3.png"",""size"":551190},{""fieldname"":""imgUploader"",""originalname"":""Picture4.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918174_Picture4.png"",""path"":""public/images/imgUploader_1574462918174_Picture4.png"",""size"":353570},{""fieldname"":""imgUploader"",""originalname"":""Picture5.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918176_Picture5.png"",""path"":""public/images/imgUploader_1574462918176_Picture5.png"",""size"":179046},{""fieldname"":""imgUploader"",""originalname"":""Picture6.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1574462918177_Picture6.png"",""path"":""public/images/imgUploader_1574462918177_Picture6.png"",""size"":147583}]",2019-03-02T00:00:00.000Z,"Together we raised $2006 in support of the Distress Center of Ottawa. Thank you to all our runners, donors, and sponsors! Don’t forget, exercise is one of the best prophylactics for good mental health","March 2, 2019",BRAIN FREEZE
"[{""fieldname"":""chee-blog"",""originalname"":""IMG_20191023_123359.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":606196,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1581127419911_IMG_20191023_123359.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1581127419911_IMG_20191023_123359.jpg"",""etag"":""\""1d1d4cad39b16fb0546b2d322db564a2\""""},{""fieldname"":""chee-blog"",""originalname"":""IMG_20191022_220650.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":1053548,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1582925955951_IMG_20191022_220650.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1582925955951_IMG_20191022_220650.jpg"",""etag"":""\""70bae2916efbb3c32f7c61fb5a2138c7\"""",""versionId"":null}]",2019-10-15T00:00:00.000Z,All of us presented our first SfN posters - and had a blast!,"October 19-23, 2019","Society for Neuroscience, Chicago 2019"
"[{""fieldname"":""chee-blog"",""originalname"":""thumbnail_20191206_182240.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":92566,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1582926135100_thumbnail_20191206_182240.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1582926135100_thumbnail_20191206_182240.jpg"",""etag"":""\""63d600124742be046d5fd9caef96d9c3\""""},{""fieldname"":""chee-blog"",""originalname"":""IMG_20191206_184234.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":1510722,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1582926135102_IMG_20191206_184234.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1582926135102_IMG_20191206_184234.jpg"",""etag"":""\""239dcc73b3dc0b11b7c07380b82d4fcb\""""}]",2019-12-06T00:00:00.000Z,"Keeping it classy as we bid farewell to 2019 and look ahead with 20/20 vision, CHEERS!","December 6, 2019",Happy holidays!
"[{""fieldname"":""chee-blog"",""originalname"":""alex defense phd.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":298827,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1590817436095_alex defense phd.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1590817436095_alex%20defense%20phd.jpg"",""etag"":""\""cef282f57ce48eb83e9b7bcf1445cbe2\""""}]",2020-01-20T00:00:00.000Z,"Our Alex successfully defended his PhD dissertation today. Here he is with his two proud supervisors. Congratulations Alex!

Up next: Alex will become a Lab Coordinator for the new neuroscience lab courses in the Department of Neuroscience at Carleton University. To all you students out there who will be taking this course, you will soon find out how lucky you are!","January 20, 2020","Congratulations Dr. Alexander Edwards, PhD!"
"[{""fieldname"":""chee-blog"",""originalname"":""albert fall goodbye.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":279814,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1590817714009_albert fall goodbye.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1590817714009_albert%20fall%20goodbye.jpg"",""etag"":""\""5e610bdffb34e6e700d8c38504696b5a\""""}]",2019-10-01T00:00:00.000Z,Soak up those rays one more time before the cold front strikes. #hibernation See you in 2020!,Winter 2019,"Sweet dreams, Albert!"
"[{""fieldname"":""chee-blog"",""originalname"":""lab retreat august 2019.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":327714,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1590817954530_lab retreat august 2019.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1590817954530_lab%20retreat%20august%202019.jpg"",""etag"":""\""425d985d65d0f7be0396524dac6222b5\""""}]",2019-08-29T00:00:00.000Z,Just fun and shenanigans this year at Britannia Beach!,"August 29, 2019",Lab Retreat
"[{""fieldname"":""chee-blog"",""originalname"":""awards_2020.jpg"",""encoding"":""7bit"",""mimetype"":""image/jpeg"",""size"":234695,""bucket"":""cheelab-image-bucket"",""key"":""chee-blog_1590818361796_awards_2020.jpg"",""acl"":""public-read"",""contentType"":""application/octet-stream"",""contentDisposition"":null,""storageClass"":""STANDARD"",""serverSideEncryption"":null,""metadata"":null,""location"":""https://cheelab-image-bucket.s3.us-east-2.amazonaws.com/chee-blog_1590818361796_awards_2020.jpg"",""etag"":""\""6de9c686b61d0ddf0b694e8ce75ffe29\""""}]",2020-05-01T00:00:00.000Z,"Congratulations Mikayla Payant (NSERC PGS D), Aditi Sankhe (NSERC USRA and NSERC PGS M), Nikita Koziel Ly (Summer I-CUREUS), and 
Duncan Spencer (Provost Scholar Award). Thank you NSERC and the Discovery Centre at Carleton University for supporting our students and our research!",May 2020,AWARDS
